"id","name","country","city","website","phone","email","address","created_by","updated_by","created_at","updated_at"
"1025","Globus Ltd.","UK","14, Central Park, Mosley Road, Trafford Park, M17 1NY Manchester"," http://www.alphasolway.com","441618774747","sales@globus.co.uk","Globus Ltd.
14, Central Park, Mosley Road, Trafford Park, M17 1NY Manchester
United Kingdom","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1026","Midas Safety Inc.","Canada","255 Duncan Mill Road, Suite 904,, M3B 3H9 Toronto, ON"," http://www.midassafety.com","14164479040268","midas@midassafety.com","Midas Safety Inc.
255 Duncan Mill Road, Suite 904,, M3B 3H9 Toronto, ON
Canada","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1027","Protos GmbH","Austria","6842 Koblach","protos.at ","435576982480","office@protos.at","Protos GmbH 
Herrschaftswiesen 11 
6842 Koblach, Austria","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1028","Tecnologia Deportiva S.A.","Spain","03360 Callosa de Segura (Alicante)","leondeoro.com ","34965311764","leondeoro@leondeoro.com","Tecnologia Deportiva S.A. 
Ctra. de Catral KM 2 
03360 Callosa de Segura (Alicante), Spain
P.O. Box 118
03360 Callosa de Segura (Alicante), Spain","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1029","Polygraphic International B.V.","Netherlands","3433 PE Nieuwegein","polygraphic.com ","31306006050","info@polygraphic.com","Polygraphic International B.V. 
Groningenhaven 28 
3433 PE Nieuwegein, Netherlands","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1030","TEXPORT Handelsgesellschaft m.b.H.","Austria","5020 Salzburg","texport.at ","43662423244","office@texport.at","Texport Funktionsbekleidung GmbH 
Franz-Sauer-Str. 30 
5020 Salzburg, Austria","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1031","Veiligheidstechniek Nederland B.V.","Netherlands","5342 LX Oss","vtn.nl ","31412695555","info@vtn.nl","Veiligheidstechniek Nederland B.V. 
Ijzerweg 67 
5342 LX Oss, Netherlands
P.O. Box 169
5340 AD Oss, Netherlands","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1032","ALSICO N.V.","Belgium","9600 Ronse","alsico.com ","3255237171","info@alsico.com","ALSICO N.V. 
Zonnestraat, 223/229 
9600 Ronse, Belgium","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1033","Ansell Healthcare Europe N.V.","Belgium","1070 Brussel","ansell.eu ","3225287400","info@ansell.com","Ansell Healthcare Europe N.V. 
Riverside Business Park, Block J Boulevard International 55
1070 Brussel, Belgium","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1034","APEGO SRL","Italy","27024 Cilavegna (Pv)","apego.it ","39038196301","info@apego.it","APEGO SRL 
Via Gravellona 98 
27024 Cilavegna (Pv), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1035","ARDON SAFETY s.r.o.","Czech Republic","750 02 Prerov I Mesto","ardon.cz ","420581250072","kovarova@ardon.cz","ARDON SAFETY s.r.o. 
Trzni ul. 2902/14 
750 02 Prerov I Mesto, Czech Republic","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1036","Bongiorno Antinfortunistica SRL","Italy","24035 Curno (BG)","kappa4work.it ","39035693777","info@kappa4work.it","Bongiorno Antinfortunistica SRL 
Via E. Fermi, 10 
24035 Curno (BG), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1037","C. Igena S.A","SPAIN","VILASSAR DE DALT, BARCELONA"," http://www.igena.com","34937531711","info@igena.com","C. Igena S.A
Rafael Riera Prats, 61, 08339 Vilassar de Dalt, Barcelona
Spain","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1038","C.A.M.P. SpA","Italy","23834 Premana (LC)","camp.it ","390341890117","nando.curtoni@camp.it","C.A.M.P. SpA 
Via Roma 23 
23834 Premana (LC), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1039","Calzados Robusta S.L.","Spain","26580 Arnedo (La Rioja)","robusta.es ","34941385411","maria_export@robusta.es","Calzados Robusta S.L. 
Ctra. de Prejano, 72 Pol. Ind. Planaressano
26580 Arnedo (La Rioja), Spain
P.O. Box 103
26580 Arnedo (La Rioja), Spain","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1040","Canis Safety a.s.","Czech Republic","735 41 Petrvald","canis.cz ","420599529647","info@canis.cz","Canis Safety a.s. 
U Tesly 1825 
735 41 Petrvald, Czech Republic","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1041","Carabelli srl","ITALY","GAGGIANO (MI)"," http://www.carabelli-italy.com","39029085882","info@carabelli-italy.it","Carabelli srl
Via del Lavoro 3, 20083 Gaggiano (MI)
Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1042","Cerva Group a.s.","Czech Republic","252 61 Jenec","cerva.com ","420257950950","export@cerva.com","Cerva Group a.s. 
Prologis Park Prague - Airport Hala DC2 Prumyslova 483
252 61 Jenec, Czech Republic","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1043","Clipper A/S","Denmark","7400 Herning","clippercorporatewear.dk ","4596263200","ccw@clipper.dk","Clipper A/S 
Nakskovvej 1 
7400 Herning, Denmark [incl. Greenland]","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1044","DIKAMAR S.A. Industria de Proteccao de Calcado","Portugal","Parque Industrial Manuel da Mota,Lote 29, Rua Pedro Alvares Cabral, 3100-440 Pombal"," http://www.dikamar.com","3511236244580","geral@dikamar.com","DIKAMAR S.A. Industria de Proteccao de Calcado
Parque Industrial Manuel da Mota,Lote 29, Rua Pedro Alvares Cabral, 3100-440 Pombal
Portugal","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1045","DIKE SRL","ITALY","BAGNOLI DI SOPRA"," http://www.dike.works","390499579761","info@dike.works","DIKE SRL
Viale dell' Industria 4, 35023 Bagnoli di Sopra
Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1046","ECC Couture BV","Netherlands","7575 EB Oldenzaal","giovannicapraro.com ","31541520500","mwissink@ecccouture.nl","ECC Couture BV 
Multatulistraat 8 
7575 EB Oldenzaal, Netherlands
P.O. Box 271
7570 AG Oldenzaal, Netherlands","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1047","Fallprotec S.A.","Luxembourg","4959 Bascharage","fallprotec.com ","35226550930","grothe@fallprotec.com","Fallprotec S.A. 
43-45, ZA Op Zaemer 
4959 Bascharage, Luxembourg","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1048","Faraone Industrie S.p.A.","Italy","64018 Tortoreto","faraone.com ","390861772221","info@faraone.com","Faraone Industrie S.p.A. 
via San Giovanni, 20 
64018 Tortoreto, Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1049","France Textile Production SAS","France","31770 Colomiers","north-ways.com ","33534528218","contact@north-ways.com","France Textile Production SAS 
Z.I. En Jacca 4 Chemin de Naudinats
31770 Colomiers, France","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1050","Francital Environnement SAS","France","38301 Bourgoin-Jallieu","francital.com ","33474190710","contact@francital.com","Francital Environnement SAS 
25, Petite rue de la Plaine 
38301 Bourgoin-Jallieu, France
P.O. Box 80034
38301 Bourgoin-Jallieu, France","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1051","Grisport S.p.A.","Italy","31030 Castelcucco (TV)","grisport.com ","390423962063","alessandro@grisport.it","Grisport S.p.A. 
Via Erega 1 
31030 Castelcucco (TV), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1052","Harken Italy Spa","ITALY","LIMIDO COMASCO"," http://www.harkenindustrial.com","390313523511","info@harkenindustrial.com","Harken Italy Spa
Via Marco Biagi, 14, 22070 Limido Comasco
Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1053","Hellberg Safety AB","Sweden","Stakebergsvägen 2, 44396 Stenkullen"," http://www.hellbergsafety.com","4630224450","info@hellbergsafety.se","Hellberg Safety AB
Stakebergsvägen 2, 44396 Stenkullen
Sweden","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1054","HighStep Systems AG","Switzerland","8953 Dietikon","highstepsystems.com ","41443714433","info@highstepsystems.com","HighStep Systems AG 
Silbernstr. 10 
8953 Dietikon, Switzerland","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
